aspect	2000	131	137	Griffe	2000-aspect0	unknown	related
subjective	2000	0	9	Billig!!!	2000-subjective1	negative	related
subjective	2000	35	45	enttäuscht	2000-subjective2	negative	related
subjective	2000	60	78	weiter verschenken	2000-subjective3	negative	related
aspect	2000	56	59	sie	2000-aspect4	unknown	related
subjective	2000	103	113	Billigster	2000-subjective5	negative	related
subjective	2000	146	175	unterschiedlichsten Blautönen	2000-subjective6	negative	related
subjective	2000	201	226	entbehrt jeglicher Kritik	2000-subjective7	negative	related
subjective	2000	227	247	Schlecht verarbeitet	2000-subjective8	negative	related
subjective	2000	253	264	Schnittgrat	2000-subjective9	negative	related
subjective	2000	312	331	auseinandergefallen	2000-subjective10	negative	related
subjective	2000	368	378	Finger weg	2000-subjective11	negative	related
subjective	2000	427	453	sieht nicht nur besser aus	2000-subjective12	negative	related
aspect	2000	185	199	Besteckeinsatz	2000-aspect13	unknown	related
aspect	2000	302	311	Transport	2000-aspect14	unknown	related
aspect	2000	22	26	Ware	2000-aspect15	unknown	related
aspect	2000	347	351	Ware	2000-aspect16	unknown	related
aspect	2000	402	414	IKEA Besteck	2000-aspect17	unknown	foreign
subjective	2000	463	486	hält sicher auch länger	2000-subjective18	negative	related
aspect	2000	115	124	Edelstahl	2000-aspect19	unknown	related
aspect	2001	0	13	Preisleistung	2001-aspect0	unknown	related
aspect	2001	20	28	Quälität	2001-aspect1	unknown	related
aspect	2001	36	41	Preis	2001-aspect2	unknown	related
aspect	2001	66	76	Einsteiger	2001-aspect3	unknown	related
subjective	2001	14	19	super	2001-subjective4	positive	related
subjective	2001	29	34	super	2001-subjective5	positive	related
subjective	2001	42	52	sehr klein	2001-subjective6	positive	related
subjective	2001	54	61	optimal	2001-subjective7	positive	related
aspect	2010	26	33	Besteck	2010-aspect0	unknown	related
aspect	2010	81	99	täglichen Gebrauch	2010-aspect1	unknown	related
aspect	2010	140	154	Preis/Leistung	2010-aspect2	unknown	related
subjective	2010	0	8	Sehr Gut	2010-subjective3	positive	related
subjective	2010	13	20	Schnell	2010-subjective4	positive	related
subjective	2010	34	47	sieht gut aus	2010-subjective5	positive	related
subjective	2010	53	73	sehr gut verarbeitet	2010-subjective6	positive	related
subjective	2010	100	112	absolut top!	2010-subjective7	positive	related
subjective	2010	120	139	nichts zu bemängeln	2010-subjective8	positive	related
subjective	2010	155	161	super!	2010-subjective9	positive	related
aspect	2011	63	70	Besteck	2011-aspect0	unknown	related
aspect	2011	202	204	35	2011-aspect1	unknown	related
aspect	2011	297	299	es	2011-aspect2	unknown	related
aspect	2011	274	281	Besteck	2011-aspect3	unknown	related
aspect	2011	100	106	Dieses	2011-aspect4	unknown	related
aspect	2011	124	126	Es	2011-aspect5	unknown	related
subjective	2011	107	122	hat einfach was	2011-subjective6	positive	related
subjective	2011	127	148	liegt gut in der Hand	2011-subjective7	positive	related
subjective	2011	153	167	sieht edel aus	2011-subjective8	positive	related
subjective	2011	169	187	Was will man mehr?	2011-subjective9	positive	related
subjective	2011	227	238	Schnäppchen	2011-subjective10	positive	related
subjective	2011	257	292	nicht das ideale Besteck für Kinder	2011-subjective11	negative	related
subjective	2011	306	312	schwer	2011-subjective12	negative	related
subjective	2011	338	341	mag	2011-subjective13	positive	related
aspect	2011	342	345	das	2011-aspect14	unknown	related
subjective	2011	0	17	Vollauf zufrieden	2011-subjective15	positive	related
aspect	2012	16	25	Lieferung	2012-aspect0	unknown	related
aspect	2012	80	82	es	2012-aspect1	unknown	related
aspect	2012	169	176	Produkt	2012-aspect2	unknown	related
subjective	2012	0	3	Gut	2012-subjective3	positive	related
subjective	2012	8	15	Günstig	2012-subjective4	positive	related
subjective	2012	30	37	schnell	2012-subjective5	positive	related
subjective	2012	42	59	zufriedenstellend	2012-subjective6	positive	related
subjective	2012	60	66	Billig	2012-subjective7	positive	related
subjective	2012	71	94	hält was es verspricht!	2012-subjective8	positive	related
aspect	2012	139	141	es	2012-aspect9	unknown	related
subjective	2012	142	163	genauso wie am Anfang	2012-subjective10	positive	related
aspect	2013	24	30	Design	2013-aspect0	unknown	related
aspect	2013	32	39	Besteck	2013-aspect1	unknown	related
aspect	2013	88	90	es	2013-aspect2	unknown	related
subjective	2013	0	6	Super!	2013-subjective3	positive	related
subjective	2013	7	23	Sehr formschönes	2013-subjective4	positive	related
subjective	2013	40	66	liegt sehr gut in der Hand	2013-subjective5	positive	related
subjective	2013	91	112	keine scharfen Kanten	2013-subjective6	positive	related
subjective	2013	118	143	Für alle Anlässe geeignet	2013-subjective7	positive	related
aspect	2014	18	31	Steak besteck	2014-aspect0	unknown	related
aspect	2014	32	41	schneidet	2014-aspect1	unknown	related
aspect	2014	81	92	Wmf Produkt	2014-aspect2	unknown	related
subjective	2014	0	10	Super !!!!	2014-subjective3	positive	related
subjective	2014	11	17	Tolles	2014-subjective4	positive	related
subjective	2014	48	53	Super	2014-subjective5	positive	related
subjective	2014	93	102	zufrieden	2014-subjective6	positive	related
subjective	2014	112	121	Empfehlen	2014-subjective7	positive	related
aspect	2016	28	33	Küche	2016-aspect0	unknown	related
aspect	2016	38	53	Frühstückstisch	2016-aspect1	unknown	related
aspect	2016	89	112	Victorinox "Tafelmesser	2016-aspect2	unknown	related
aspect	2016	118	127	optischen	2016-aspect3	unknown	related
aspect	2016	216	227	großes Koch	2016-aspect4	unknown	foreign
aspect	2016	234	244	Brotmesser	2016-aspect5	unknown	foreign
aspect	2016	262	279	spezielles Messer	2016-aspect6	unknown	foreign
aspect	2016	299	312	Wellenschliff	2016-aspect7	unknown	related
aspect	2016	337	344	Semmeln	2016-aspect8	unknown	related
aspect	2016	346	354	Brötchen	2016-aspect9	unknown	related
aspect	2016	360	369	Schrippen	2016-aspect10	unknown	related
aspect	2016	371	378	Tomaten	2016-aspect11	unknown	related
aspect	2016	380	385	Wurst	2016-aspect12	unknown	related
aspect	2016	387	393	Gurken	2016-aspect13	unknown	related
aspect	2016	395	402	Orangen	2016-aspect14	unknown	related
aspect	2016	404	412	Zitronen	2016-aspect15	unknown	related
aspect	2016	414	419	Äpfel	2016-aspect16	unknown	related
aspect	2016	450	457	Schärfe	2016-aspect17	unknown	related
aspect	2016	478	491	allen Messern	2016-aspect18	unknown	foreign
aspect	2016	579	585	Messer	2016-aspect19	unknown	related
aspect	2016	615	632	Verletzungsgefahr	2016-aspect20	unknown	related
aspect	2016	658	664	Klinge	2016-aspect21	unknown	related
aspect	2016	691	696	Griff	2016-aspect22	unknown	related
aspect	2016	732	754	Oberfläche des Griffes	2016-aspect23	unknown	related
aspect	2016	778	784	Messer	2016-aspect24	unknown	related
aspect	2016	838	842	Hand	2016-aspect25	unknown	related
aspect	2016	861	881	Geschirrspülmaschine	2016-aspect26	unknown	related
aspect	2016	899	905	Klinge	2016-aspect27	unknown	related
aspect	2016	939	944	Griff	2016-aspect28	unknown	related
subjective	2016	8	22	Univeralmesser	2016-subjective29	positive	related
subjective	2016	151	167	weniger geeignet	2016-subjective30	negative	related
subjective	2016	174	197	für alle anderen Zwecke	2016-subjective31	positive	related
subjective	2016	330	336	leicht	2016-subjective32	positive	related
subjective	2016	436	445	schneiden	2016-subjective33	positive	related
subjective	2016	458	463	nimmt	2016-subjective34	negative	related
subjective	2016	522	537	mit der Zeit ab	2016-subjective35	negative	related
subjective	2016	596	609	schnitthaltig	2016-subjective36	positive	related
